"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @NottsCommHA: We’re all about how we can help the #environment…

That’s why Cycle September is a fun way to get people #cycling and thin…",FALSE,0,NA,2021-09-22 18:30:05,FALSE,NA,"1440745231733833736",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","LovetoRide_",0,TRUE,FALSE,NA,NA
"RT @RotoRub: We are very happy to share our #openaccess integrated #HPS paper that has just been published in @Bio_and_Philo! We discuss lo…",FALSE,0,NA,2021-09-22 18:29:33,FALSE,NA,"1440745097084096512",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","headron",21,TRUE,FALSE,NA,NA
"RT @EnviroVigyan: #airpollution #beatairpollution #indoorairpollution #airpollutionsucks #delhiairpollution #stopairpollution #airpollution…",FALSE,0,NA,2021-09-22 18:29:26,FALSE,NA,"1440745069556875269",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anchalgarg123",1,TRUE,FALSE,NA,NA
"How a #Workplace #Leader can #Create a #Happy and #Satisfying #Environment for its #Subordinates?… https://t.co/XqVSPkwfRs",FALSE,0,NA,2021-09-22 18:28:49,TRUE,NA,"1440744912987693058",NA,"<a href=""https://postoplan.app"" rel=""nofollow"">Postoplan </a>","captshekhar",0,FALSE,FALSE,NA,NA
"RT @USGS: USGS and partners help understand when/where #bluewingedteal #ducks could transmit #avianflu to domestic #chicken and #turkey fac…",FALSE,0,NA,2021-09-22 18:26:37,FALSE,NA,"1440744358970494979",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lyebre1029Paulo",6,TRUE,FALSE,NA,NA
"Tomorrow will be a great day…..

It’s Thermocill first batch manufacturing day @MGSTechPlas we will soon be helping… https://t.co/neuEJYLYWu",FALSE,2,NA,2021-09-22 18:25:18,TRUE,NA,"1440744026190143490",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Thermocill",0,FALSE,FALSE,NA,NA
"RT @Survival: Big conservation NGOs like @WWF say Protected Areas will mitigate #ClimateChange, reduce #wildlife loss, enhance #biodiversit…",FALSE,0,NA,2021-09-22 18:25:11,FALSE,NA,"1440743998461595652",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EdRojasBr",4,TRUE,FALSE,NA,NA
"Assessing International Environmental Leadership: CDI 2021 cc @JonathanWNV @DanAlbas @environmentca #environment… https://t.co/uun1m54L3D",FALSE,0,NA,2021-09-22 18:24:57,TRUE,NA,"1440743940177621006",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ClaireKraatz",0,FALSE,FALSE,NA,NA
"#Politics #Government #Environment #ClimateCrisis #FossilFuels ⁦@JoeBiden⁩ —&gt; “Does Not Present Sufficient Cause” https://t.co/RefHd8Ddbz",FALSE,0,NA,2021-09-22 18:23:45,FALSE,NA,"1440743638070222852",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LuluWalcott1",0,FALSE,FALSE,NA,NA
"@SPE_Token_BSC 1.helps the #environment (#reforestation, cleaning of oceans, mangroves and corals, #cleanenergy) 
2… https://t.co/d3Tzdb99SV",FALSE,0,"SPE_Token_BSC",2021-09-22 18:23:15,TRUE,"1440676254722629634","1440743511255502862","1362194024183046145","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kaki_cabrera",0,FALSE,FALSE,NA,NA
